2024-12-29 16:27:40.469943 [DEBUG] CPU: 52.10%, MEM: 54.10%, REQ: 216, ERR: 0.005
2024-12-29 17:24:40.469943 [INFO] CPU: 58.87%, MEM: 54.95%, REQ: 148, ERR: 0.011
2024-12-29 17:25:40.469943 [INFO] CPU: 54.37%, MEM: 64.85%, REQ: 225, ERR: 0.005
2024-12-29 17:26:40.469943 [DEBUG] CPU: 56.80%, MEM: 74.31%, REQ: 164, ERR: 0.012
2024-12-29 17:27:40.469943 [WARNING] CPU: 44.96%, MEM: 59.02%, REQ: 207, ERR: 0.008
2024-12-29 17:28:40.469943 [INFO] CPU: 43.24%, MEM: 60.41%, REQ: 178, ERR: 0.005
2024-12-29 17:29:40.469943 [DEBUG] CPU: 56.79%, MEM: 46.21%, REQ: 213, ERR: 0.012
2024-12-29 17:30:40.469943 [INFO] CPU: 32.74%, MEM: 51.87%, REQ: 224, ERR: 0.005
2024-12-29 17:31:40.469943 [INFO] CPU: 45.36%, MEM: 65.54%, REQ: 216, ERR: 0.009
2024-12-29 17:32:40.469943 [INFO] CPU: 44.02%, MEM: 77.07%, REQ: 235, ERR: 0.015
2024-12-29 17:33:40.469943 [WARNING] CPU: 50.85%, MEM: 50.30%, REQ: 183, ERR: 0.013
2024-12-29 17:34:40.469943 [DEBUG] CPU: 54.18%, MEM: 76.82%, REQ: 213, ERR: 0.002
2024-12-29 17:35:40.469943 [INFO] CPU: 60.52%, MEM: 48.02%, REQ: 192, ERR: 0.011
2024-12-29 17:36:40.469943 [INFO] CPU: 69.96%, MEM: 97.32%, REQ: 212, ERR: 0.009
2024-12-29 17:37:40.469943 [WARNING] CPU: 55.35%, MEM: 70.65%, REQ: 194, ERR: 0.019
2024-12-29 17:38:40.469943 [INFO] CPU: 52.30%, MEM: 65.97%, REQ: 213, ERR: 0.012
2024-12-29 17:39:40.469943 [INFO] CPU: 58.39%, MEM: 52.59%, REQ: 189, ERR: 0.004
2024-12-29 17:40:40.469943 [WARNING] CPU: 54.40%, MEM: 69.35%, REQ: 209, ERR: 0.018
2024-12-29 17:41:40.469943 [INFO] CPU: 49.94%, MEM: 68.02%, REQ: 178, ERR: 0.008
2024-12-29 17:42:40.469943 [INFO] CPU: 56.96%, MEM: 70.19%, REQ: 194, ERR: 0.010
2024-12-29 17:43:40.469943 [INFO] CPU: 34.82%, MEM: 55.72%, REQ: 218, ERR: 0.013
2024-12-29 17:44:40.469943 [INFO] CPU: 55.01%, MEM: 60.60%, REQ: 200, ERR: 0.007
2024-12-29 17:45:40.469943 [WARNING] CPU: 56.99%, MEM: 65.05%, REQ: 210, ERR: 0.007
2024-12-29 17:46:40.469943 [INFO] CPU: 28.47%, MEM: 73.17%, REQ: 190, ERR: 0.006
2024-12-29 17:47:40.469943 [INFO] CPU: 56.93%, MEM: 55.30%, REQ: 221, ERR: 0.013
2024-12-29 17:48:40.469943 [INFO] CPU: 56.84%, MEM: 43.61%, REQ: 224, ERR: 0.011
2024-12-29 17:49:40.469943 [INFO] CPU: 46.31%, MEM: 61.72%, REQ: 164, ERR: 0.012
2024-12-29 17:50:40.469943 [INFO] CPU: 39.71%, MEM: 43.77%, REQ: 170, ERR: 0.016
2024-12-29 17:51:40.469943 [INFO] CPU: 43.71%, MEM: 78.40%, REQ: 189, ERR: 0.001
2024-12-29 17:52:40.469943 [DEBUG] CPU: 38.83%, MEM: 74.83%, REQ: 197, ERR: 0.007
2024-12-29 17:53:40.469943 [INFO] CPU: 51.60%, MEM: 66.02%, REQ: 222, ERR: 0.017
2024-12-29 17:54:40.469943 [DEBUG] CPU: 46.40%, MEM: 44.09%, REQ: 192, ERR: 0.011
2024-12-29 17:55:40.469943 [WARNING] CPU: 40.36%, MEM: 48.51%, REQ: 207, ERR: 0.010
2024-12-29 17:56:40.469943 [ERROR] CPU: 97.00%, MEM: 91.00%, REQ: 301, ERR: 0.103
2024-12-29 17:57:40.469943 [INFO] CPU: 58.90%, MEM: 72.42%, REQ: 163, ERR: 0.005
2024-12-29 17:58:40.469943 [INFO] CPU: 35.03%, MEM: 52.20%, REQ: 198, ERR: 0.003
2024-12-29 17:59:40.469943 [DEBUG] CPU: 40.78%, MEM: 47.95%, REQ: 204, ERR: 0.010
2024-12-29 18:00:40.469943 [INFO] CPU: 42.78%, MEM: 62.12%, REQ: 189, ERR: 0.009
2024-12-29 18:01:40.469943 [WARNING] CPU: 66.73%, MEM: 76.09%, REQ: 174, ERR: 0.014
2024-12-29 18:02:40.469943 [WARNING] CPU: 58.11%, MEM: 46.22%, REQ: 216, ERR: 0.018
2024-12-29 18:03:40.469943 [DEBUG] CPU: 38.77%, MEM: 48.99%, REQ: 220, ERR: 0.011
2024-12-29 18:04:40.469943 [DEBUG] CPU: 55.51%, MEM: 64.09%, REQ: 208, ERR: 0.003
2024-12-29 18:05:40.469943 [DEBUG] CPU: 60.47%, MEM: 74.04%, REQ: 195, ERR: 0.010
2024-12-29 18:06:40.469943 [INFO] CPU: 34.69%, MEM: 66.17%, REQ: 211, ERR: 0.010
2024-12-29 18:07:40.469943 [INFO] CPU: 61.24%, MEM: 55.99%, REQ: 211, ERR: 0.005
2024-12-29 18:08:40.469943 [DEBUG] CPU: 49.76%, MEM: 57.91%, REQ: 205, ERR: 0.008
2024-12-29 18:09:40.469943 [INFO] CPU: 48.69%, MEM: 69.91%, REQ: 191, ERR: 0.002
2024-12-29 18:10:40.469943 [DEBUG] CPU: 67.50%, MEM: 76.58%, REQ: 174, ERR: 0.013
2024-12-29 18:11:40.469943 [DEBUG] CPU: 44.97%, MEM: 63.16%, REQ: 206, ERR: 0.009
2024-12-29 18:12:40.469943 [INFO] CPU: 42.16%, MEM: 51.71%, REQ: 182, ERR: 0.006
2024-12-29 18:13:40.469943 [WARNING] CPU: 49.33%, MEM: 51.41%, REQ: 214, ERR: 0.017
2024-12-29 18:14:40.469943 [INFO] CPU: 44.20%, MEM: 62.87%, REQ: 210, ERR: 0.012
2024-12-29 18:15:40.469943 [INFO] CPU: 50.76%, MEM: 68.91%, REQ: 210, ERR: 0.004
2024-12-29 18:16:40.469943 [DEBUG] CPU: 58.69%, MEM: 70.65%, REQ: 185, ERR: 0.010
2024-12-29 18:17:40.469943 [INFO] CPU: 56.83%, MEM: 57.49%, REQ: 221, ERR: 0.022
2024-12-29 18:18:40.469943 [INFO] CPU: 42.14%, MEM: 43.43%, REQ: 206, ERR: 0.014
2024-12-29 18:19:40.469943 [WARNING] CPU: 47.69%, MEM: 77.44%, REQ: 173, ERR: 0.013
2024-12-29 18:20:40.469943 [DEBUG] CPU: 43.94%, MEM: 80.63%, REQ: 240, ERR: 0.006
2024-12-29 18:21:40.469943 [WARNING] CPU: 44.50%, MEM: 70.32%, REQ: 192, ERR: 0.010
2024-12-29 18:22:40.469943 [DEBUG] CPU: 50.25%, MEM: 36.96%, REQ: 200, ERR: 0.007
2024-12-29 18:23:40.469943 [INFO] CPU: 45.07%, MEM: 77.32%, REQ: 175, ERR: 0.014
2024-12-29 18:24:40.469943 [INFO] CPU: 47.21%, MEM: 56.64%, REQ: 216, ERR: 0.012
2024-12-29 18:25:40.469943 [INFO] CPU: 55.71%, MEM: 71.62%, REQ: 193, ERR: 0.007
2024-12-29 18:26:40.469943 [INFO] CPU: 39.15%, MEM: 50.10%, REQ: 259, ERR: 0.016
2024-12-29 18:27:40.469943 [INFO] CPU: 36.49%, MEM: 44.13%, REQ: 210, ERR: 0.013
2024-12-29 18:28:40.469943 [WARNING] CPU: 55.49%, MEM: 56.94%, REQ: 197, ERR: 0.012
2024-12-29 18:29:40.469943 [INFO] CPU: 50.86%, MEM: 33.37%, REQ: 195, ERR: 0.006
2024-12-29 18:30:40.469943 [INFO] CPU: 51.75%, MEM: 95.82%, REQ: 207, ERR: 0.008
2024-12-29 18:31:40.469943 [INFO] CPU: 59.22%, MEM: 65.79%, REQ: 208, ERR: 0.013
2024-12-29 18:32:40.469943 [INFO] CPU: 70.57%, MEM: 46.43%, REQ: 209, ERR: 0.005
2024-12-29 18:33:40.469943 [ERROR] CPU: 94.00%, MEM: 86.00%, REQ: 325, ERR: 0.270
2024-12-29 18:34:40.469943 [INFO] CPU: 59.76%, MEM: 71.02%, REQ: 175, ERR: 0.010
2024-12-29 18:35:40.469943 [DEBUG] CPU: 42.90%, MEM: 44.90%, REQ: 196, ERR: 0.008
2024-12-29 18:36:40.469943 [INFO] CPU: 74.27%, MEM: 65.20%, REQ: 172, ERR: 0.007
2024-12-29 18:37:40.469943 [WARNING] CPU: 60.21%, MEM: 85.06%, REQ: 168, ERR: 0.001
2024-12-29 18:38:40.469943 [INFO] CPU: 68.71%, MEM: 64.68%, REQ: 183, ERR: 0.013
2024-12-29 18:39:40.469943 [DEBUG] CPU: 23.64%, MEM: 60.04%, REQ: 207, ERR: 0.015
2024-12-29 18:40:40.469943 [INFO] CPU: 39.86%, MEM: 61.03%, REQ: 181, ERR: 0.011
2024-12-29 18:41:40.469943 [INFO] CPU: 41.05%, MEM: 55.10%, REQ: 180, ERR: 0.013
2024-12-29 18:42:40.469943 [INFO] CPU: 58.58%, MEM: 57.18%, REQ: 201, ERR: 0.003
2024-12-29 18:43:40.469943 [INFO] CPU: 47.00%, MEM: 59.40%, REQ: 252, ERR: 0.004
2024-12-29 18:44:40.469943 [INFO] CPU: 64.64%, MEM: 71.96%, REQ: 206, ERR: 0.019
2024-12-29 18:45:40.469943 [WARNING] CPU: 53.72%, MEM: 64.67%, REQ: 199, ERR: 0.016
2024-12-29 18:46:40.469943 [DEBUG] CPU: 60.96%, MEM: 52.49%, REQ: 174, ERR: 0.009
2024-12-29 18:47:40.469943 [INFO] CPU: 42.00%, MEM: 59.24%, REQ: 225, ERR: 0.008
2024-12-29 18:48:40.469943 [INFO] CPU: 49.57%, MEM: 60.70%, REQ: 217, ERR: -0.001
2024-12-29 18:49:40.469943 [INFO] CPU: 43.93%, MEM: 62.54%, REQ: 224, ERR: 0.008
2024-12-29 18:50:40.469943 [INFO] CPU: 31.23%, MEM: 67.44%, REQ: 187, ERR: 0.004
2024-12-29 18:51:40.469943 [INFO] CPU: 43.76%, MEM: 57.79%, REQ: 188, ERR: -0.001
2024-12-29 18:52:40.469943 [DEBUG] CPU: 58.97%, MEM: 75.30%, REQ: 213, ERR: 0.004
2024-12-29 18:53:40.469943 [INFO] CPU: 47.99%, MEM: 59.92%, REQ: 212, ERR: 0.013
2024-12-29 18:54:40.469943 [INFO] CPU: 42.66%, MEM: 60.98%, REQ: 209, ERR: 0.017
2024-12-29 18:55:40.469943 [INFO] CPU: 57.05%, MEM: 69.47%, REQ: 202, ERR: 0.017
2024-12-29 18:56:40.469943 [WARNING] CPU: 54.10%, MEM: 49.67%, REQ: 228, ERR: 0.013
2024-12-29 18:57:40.469943 [INFO] CPU: 45.57%, MEM: 54.25%, REQ: 206, ERR: 0.012
2024-12-29 18:58:40.469943 [DEBUG] CPU: 51.97%, MEM: 63.74%, REQ: 234, ERR: 0.015
2024-12-29 18:59:40.469943 [INFO] CPU: 51.91%, MEM: 71.30%, REQ: 179, ERR: 0.012
2024-12-29 19:00:40.469943 [INFO] CPU: 68.09%, MEM: 57.38%, REQ: 183, ERR: 0.007
2024-12-29 19:01:40.469943 [DEBUG] CPU: 39.10%, MEM: 50.58%, REQ: 193, ERR: 0.003
2024-12-29 19:02:40.469943 [ERROR] CPU: 107.00%, MEM: 92.00%, REQ: 385, ERR: 0.239
2024-12-29 19:03:40.469943 [INFO] CPU: 55.11%, MEM: 72.37%, REQ: 187, ERR: 0.014
2024-12-29 19:04:40.469943 [WARNING] CPU: 39.08%, MEM: 70.68%, REQ: 203, ERR: 0.013
2024-12-29 19:05:40.469943 [WARNING] CPU: 38.24%, MEM: 49.26%, REQ: 212, ERR: 0.005
2024-12-29 19:06:40.469943 [INFO] CPU: 54.63%, MEM: 43.59%, REQ: 217, ERR: 0.004
2024-12-29 19:07:40.469943 [INFO] CPU: 55.52%, MEM: 67.51%, REQ: 186, ERR: 0.013
2024-12-29 19:08:40.469943 [INFO] CPU: 52.60%, MEM: 53.53%, REQ: 180, ERR: 0.000
2024-12-29 19:09:40.469943 [INFO] CPU: 53.50%, MEM: 41.22%, REQ: 202, ERR: 0.009
2024-12-29 19:10:40.469943 [ERROR] CPU: 90.00%, MEM: 94.00%, REQ: 312, ERR: 0.240
2024-12-29 19:11:40.469943 [INFO] CPU: 53.35%, MEM: 63.79%, REQ: 209, ERR: 0.002
2024-12-29 19:12:40.469943 [WARNING] CPU: 57.57%, MEM: 67.35%, REQ: 180, ERR: 0.009
2024-12-29 19:13:40.469943 [INFO] CPU: 49.61%, MEM: 58.39%, REQ: 207, ERR: 0.017
2024-12-29 19:14:40.469943 [INFO] CPU: 60.82%, MEM: 44.25%, REQ: 212, ERR: 0.017
2024-12-29 19:15:40.469943 [INFO] CPU: 53.87%, MEM: 73.09%, REQ: 240, ERR: 0.015
2024-12-29 19:16:40.469943 [WARNING] CPU: 52.49%, MEM: 72.54%, REQ: 203, ERR: 0.010
2024-12-29 19:17:40.469943 [DEBUG] CPU: 46.49%, MEM: 78.76%, REQ: 184, ERR: 0.018
2024-12-29 19:18:40.469943 [WARNING] CPU: 55.00%, MEM: 43.21%, REQ: 207, ERR: -0.001
2024-12-29 19:19:40.469943 [WARNING] CPU: 56.26%, MEM: 70.62%, REQ: 188, ERR: 0.011
2024-12-29 19:20:40.469943 [INFO] CPU: 69.54%, MEM: 53.93%, REQ: 179, ERR: 0.017
2024-12-29 19:21:40.469943 [INFO] CPU: 69.63%, MEM: 60.04%, REQ: 220, ERR: 0.017
2024-12-29 19:22:40.469943 [INFO] CPU: 42.58%, MEM: 54.18%, REQ: 225, ERR: 0.018
2024-12-29 19:23:40.469943 [INFO] CPU: 55.63%, MEM: 49.44%, REQ: 240, ERR: 0.007
2024-12-29 19:24:40.469943 [DEBUG] CPU: 46.65%, MEM: 64.11%, REQ: 231, ERR: 0.014
2024-12-29 19:25:40.469943 [INFO] CPU: 54.15%, MEM: 65.56%, REQ: 201, ERR: 0.013
2024-12-29 19:26:40.469943 [INFO] CPU: 24.70%, MEM: 56.44%, REQ: 205, ERR: 0.004
2024-12-29 19:27:40.469943 [INFO] CPU: 53.86%, MEM: 57.55%, REQ: 235, ERR: 0.018
2024-12-29 19:28:40.469943 [DEBUG] CPU: 45.34%, MEM: 58.19%, REQ: 199, ERR: 0.008
2024-12-29 19:29:40.469943 [INFO] CPU: 51.95%, MEM: 50.90%, REQ: 177, ERR: 0.013
2024-12-29 19:30:40.469943 [WARNING] CPU: 56.30%, MEM: 50.35%, REQ: 218, ERR: 0.007
2024-12-29 19:31:40.469943 [WARNING] CPU: 52.53%, MEM: 69.84%, REQ: 199, ERR: 0.012
2024-12-29 19:32:40.469943 [WARNING] CPU: 44.84%, MEM: 57.64%, REQ: 196, ERR: 0.006
2024-12-29 19:33:40.469943 [INFO] CPU: 48.23%, MEM: 41.42%, REQ: 190, ERR: 0.009
2024-12-29 19:34:40.469943 [WARNING] CPU: 47.44%, MEM: 57.10%, REQ: 199, ERR: 0.012
2024-12-29 19:35:40.469943 [INFO] CPU: 58.75%, MEM: 52.20%, REQ: 176, ERR: 0.005
2024-12-29 19:36:40.469943 [INFO] CPU: 45.13%, MEM: 55.78%, REQ: 185, ERR: 0.004
2024-12-29 19:37:40.469943 [INFO] CPU: 45.44%, MEM: 62.18%, REQ: 212, ERR: 0.007
2024-12-29 19:38:40.469943 [INFO] CPU: 45.87%, MEM: 48.88%, REQ: 199, ERR: 0.006
2024-12-29 19:39:40.469943 [INFO] CPU: 55.73%, MEM: 38.57%, REQ: 193, ERR: 0.012
2024-12-29 19:40:40.469943 [INFO] CPU: 51.84%, MEM: 92.32%, REQ: 207, ERR: 0.005
2024-12-29 19:41:40.469943 [WARNING] CPU: 49.05%, MEM: 38.69%, REQ: 198, ERR: 0.006
2024-12-29 19:42:40.469943 [INFO] CPU: 59.15%, MEM: 53.41%, REQ: 198, ERR: 0.007
2024-12-29 19:43:40.469943 [INFO] CPU: 67.39%, MEM: 56.15%, REQ: 237, ERR: 0.014
2024-12-29 19:44:40.469943 [WARNING] CPU: 54.82%, MEM: 64.42%, REQ: 208, ERR: 0.000
2024-12-29 19:45:40.469943 [WARNING] CPU: 47.21%, MEM: 70.14%, REQ: 199, ERR: 0.003
2024-12-29 19:46:40.469943 [INFO] CPU: 49.48%, MEM: 80.45%, REQ: 225, ERR: 0.010
2024-12-29 19:47:40.469943 [WARNING] CPU: 59.51%, MEM: 55.60%, REQ: 166, ERR: 0.005
2024-12-29 19:48:40.469943 [INFO] CPU: 65.63%, MEM: 56.71%, REQ: 195, ERR: 0.009
2024-12-29 19:49:40.469943 [WARNING] CPU: 69.04%, MEM: 79.51%, REQ: 244, ERR: 0.009
2024-12-29 19:50:40.469943 [ERROR] CPU: 105.00%, MEM: 87.00%, REQ: 359, ERR: 0.260
2024-12-29 19:51:40.469943 [DEBUG] CPU: 52.17%, MEM: 46.83%, REQ: 188, ERR: 0.006
2024-12-29 19:52:40.469943 [WARNING] CPU: 43.92%, MEM: 53.53%, REQ: 189, ERR: 0.014
2024-12-29 19:53:40.469943 [WARNING] CPU: 38.95%, MEM: 62.65%, REQ: 224, ERR: 0.007
2024-12-29 19:54:40.469943 [INFO] CPU: 42.82%, MEM: 57.23%, REQ: 224, ERR: 0.011
2024-12-29 19:55:40.469943 [INFO] CPU: 44.69%, MEM: 65.81%, REQ: 178, ERR: 0.013
2024-12-29 19:56:40.469943 [INFO] CPU: 54.09%, MEM: 56.31%, REQ: 183, ERR: 0.006
2024-12-29 19:57:40.469943 [INFO] CPU: 55.35%, MEM: 74.75%, REQ: 187, ERR: 0.012
2024-12-29 19:58:40.469943 [INFO] CPU: 29.13%, MEM: 52.98%, REQ: 199, ERR: 0.005
2024-12-29 19:59:40.469943 [WARNING] CPU: 40.63%, MEM: 51.99%, REQ: 206, ERR: 0.009
2024-12-29 20:00:40.469943 [INFO] CPU: 27.62%, MEM: 34.55%, REQ: 188, ERR: 0.012
2024-12-29 20:01:40.469943 [INFO] CPU: 22.52%, MEM: 54.00%, REQ: 189, ERR: 0.017
2024-12-29 20:02:40.469943 [INFO] CPU: 46.15%, MEM: 64.60%, REQ: 203, ERR: -0.001
2024-12-29 20:03:40.469943 [DEBUG] CPU: 57.68%, MEM: 62.58%, REQ: 210, ERR: 0.030
2024-12-29 20:04:40.469943 [INFO] CPU: 29.16%, MEM: 80.70%, REQ: 194, ERR: 0.011
2024-12-29 20:05:40.469943 [DEBUG] CPU: 49.54%, MEM: 54.91%, REQ: 189, ERR: 0.012
2024-12-29 20:06:40.469943 [INFO] CPU: 34.83%, MEM: 69.01%, REQ: 192, ERR: 0.004
2024-12-29 20:07:40.469943 [INFO] CPU: 45.50%, MEM: 75.09%, REQ: 189, ERR: 0.012
2024-12-29 20:08:40.469943 [INFO] CPU: 42.69%, MEM: 69.10%, REQ: 214, ERR: 0.019
2024-12-29 20:09:40.469943 [WARNING] CPU: 48.24%, MEM: 68.02%, REQ: 202, ERR: 0.016
2024-12-29 20:10:40.469943 [DEBUG] CPU: 42.81%, MEM: 68.94%, REQ: 196, ERR: 0.010
2024-12-29 20:11:40.469943 [INFO] CPU: 50.92%, MEM: 63.03%, REQ: 198, ERR: 0.011
2024-12-29 20:12:40.469943 [INFO] CPU: 65.78%, MEM: 71.83%, REQ: 217, ERR: 0.008
2024-12-29 20:13:40.469943 [WARNING] CPU: 41.11%, MEM: 71.46%, REQ: 218, ERR: 0.017
2024-12-29 20:14:40.469943 [WARNING] CPU: 43.96%, MEM: 57.25%, REQ: 167, ERR: 0.008
2024-12-29 20:15:40.469943 [INFO] CPU: 59.97%, MEM: 54.40%, REQ: 213, ERR: 0.009
2024-12-29 20:16:40.469943 [INFO] CPU: 53.24%, MEM: 46.23%, REQ: 202, ERR: -0.005
2024-12-29 20:17:40.469943 [INFO] CPU: 48.13%, MEM: 40.43%, REQ: 224, ERR: 0.014
2024-12-29 20:18:40.469943 [INFO] CPU: 54.67%, MEM: 78.25%, REQ: 181, ERR: 0.019
2024-12-29 20:19:40.469943 [INFO] CPU: 59.32%, MEM: 57.16%, REQ: 223, ERR: 0.004
2024-12-29 20:20:40.469943 [WARNING] CPU: 41.75%, MEM: 52.70%, REQ: 189, ERR: 0.005
2024-12-29 20:21:40.469943 [INFO] CPU: 62.23%, MEM: 56.89%, REQ: 207, ERR: 0.007
2024-12-29 20:22:40.469943 [INFO] CPU: 31.79%, MEM: 63.24%, REQ: 162, ERR: 0.010
2024-12-29 20:23:40.469943 [INFO] CPU: 36.32%, MEM: 83.85%, REQ: 218, ERR: 0.011
2024-12-29 20:24:40.469943 [INFO] CPU: 62.64%, MEM: 49.84%, REQ: 211, ERR: 0.011
2024-12-29 20:25:40.469943 [WARNING] CPU: 52.64%, MEM: 75.27%, REQ: 215, ERR: 0.011
2024-12-29 20:26:40.469943 [DEBUG] CPU: 33.45%, MEM: 48.48%, REQ: 198, ERR: 0.010
2024-12-29 20:27:40.469943 [INFO] CPU: 38.70%, MEM: 88.94%, REQ: 230, ERR: 0.013
2024-12-29 20:28:40.469943 [DEBUG] CPU: 50.72%, MEM: 57.45%, REQ: 181, ERR: 0.010
